id,name,type,sex,family function,religion,organisation,profession,origin,death,education,nationality
ChaZan,Chana Zanger,1,2,2,1,99,99,1,2,99,2
SalZan,Salomon Zanger,1,1,3,1,99,99,2,2,99,1
MetZan,Meta Zanger,1,2,4,1,99,99,2,2,99,1
MosZan,Moses Zanger,1,1,1,1,99,1,1,2,99,2
CilZan,Cilly Zanger,1,2,4,1,99,99,2,2,99,1
Blu27,Blumenstrasse 27,2,99,99,99,3,99,99,99,99,99
AlbKat,Albert Katz,1,1,10,1,99,99,2,3,99,1
LeoKat,Leon Katz,1,1,10,1,99,99,2,1,99,99
LisWel,Lisbeth Wellner,1,2,12,99,99,99,99,99,99,99
ShoKat,Sholem Katz,1,1,11,1,99,99,99,4,99,99
EllZan,Ella Zanger,1,2,10,1,99,99,2,1,99,1
RecZan,Recha Zanger,1,2,10,1,99,99,2,99,99,1
Tar,Arbeitslager Tarnow,2,99,99,99,2,99,99,99,99,99
Aus,KZ Auschwitz,2,99,99,99,2,99,99,99,99,99
Heu,KZ Heuberg,2,99,99,99,2,99,99,99,99,99
Str,Strassburg,2,99,99,99,3,99,99,99,99,99
Kub,Kuba,2,99,99,99,3,99,99,99,99,99
USA,USA,2,99,99,99,3,99,99,99,99,99
Ben,Bentschen,2,99,99,99,3,99,99,99,99,99
Pal,Palaestina,2,99,99,99,3,99,99,99,99,99
Bel,Belgien,2,99,99,99,3,99,99,99,99,99
